,method,seed,modal,acc
210,mmix_nl_10_lr5e-4_wd1e-4,0,[0],0.9942383170127869
42,mmix_nl_10_lr1e-3_wd1e-3,0,[0],0.9942383170127869
126,mmix_nl_10_lr5e-4_wd0.0,0,[0],0.9942383170127869
84,mmix_nl_10_lr1e-3_wd1e-4,0,[0],0.9942383170127869
253,mmix_nl_10_lr1e-4_wd0.0,0,[0],0.9942383170127869
335,mmix_nl_10_lr1e-4_wd1e-4,0,[0],0.9942383170127869
376,gmc_nl_lr1e-4_wd1e-4,0,[0&2],0.9941520690917969
292,gmc_nl_lr1e-4_wd0.0,0,[0&2],0.9939567446708679
63,mmix_l_10_lr1e-3_wd1e-3,0,[0],0.993945300579071
274,mmix_l_10_lr1e-4_wd0.0,0,[0],0.993945300579071
231,mmix_l_10_lr5e-4_wd1e-4,0,[0],0.993945300579071
314,mmix_l_10_lr1e-4_wd1e-3,0,[0],0.993945300579071
21,mmix_l_10_lr1e-3_wd0.0,0,[0],0.993945300579071
354,mmix_l_10_lr1e-4_wd1e-4,0,[0],0.993945300579071
189,mmix_l_10_lr5e-4_wd1e-3,0,[0],0.993945300579071
147,mmix_l_10_lr5e-4_wd0.0,0,[0],0.993945300579071
105,mmix_l_10_lr1e-3_wd1e-4,0,[0],0.993945300579071
164,gmc_nl_lr5e-4_wd0.0,0,[0&1],0.9935547113418579
165,gmc_nl_lr5e-4_wd0.0,0,[1&2],0.9934684634208679
249,gmc_nl_lr5e-4_wd1e-4,0,[1&2],0.993359386920929
277,mmix_l_05_lr1e-4_wd0.0,0,[2],0.9932962656021118
319,mmix_l_05_lr1e-4_wd1e-3,0,[2],0.9932962656021118
69,mmix_l_05_lr1e-3_wd1e-3,0,[2],0.9932962656021118
29,mmix_l_05_lr1e-3_wd0.0,0,[2],0.9932962656021118
112,mmix_l_05_lr1e-3_wd1e-4,0,[2],0.9932962656021118
153,mmix_l_05_lr5e-4_wd0.0,0,[2],0.9932962656021118
194,mmix_l_05_lr5e-4_wd1e-3,0,[2],0.9932962656021118
236,mmix_l_05_lr5e-4_wd1e-4,0,[2],0.9932962656021118
358,mmix_l_05_lr1e-4_wd1e-4,0,[2],0.9932962656021118
101,gmc_l_lr1e-3_wd1e-4,0,[0&1],0.9922966361045837
102,gmc_l_lr1e-3_wd1e-4,0,[1&2],0.9921989440917969
56,gmc_l_lr1e-3_wd1e-3,0,[0&1],0.9919175505638123
34,gmc_nl_lr1e-3_wd0.0,0,[1&2],0.9914522171020508
31,gmc_nl_lr1e-3_wd0.0,0,[0&1],0.9914522171020508
53,gmc_l_lr1e-3_wd1e-3,0,[2],0.9913545846939087
54,mmix_nl_05_lr1e-3_wd1e-3,0,[1&2],0.9909409880638123
15,mmix_nl_05_lr1e-3_wd0.0,0,[1&2],0.9909409880638123
178,mmix_nl_05_lr5e-4_wd1e-3,0,[1&2],0.9909409880638123
96,mmix_nl_05_lr1e-3_wd1e-4,0,[1&2],0.9909409880638123
260,mmix_nl_05_lr1e-4_wd0.0,0,[1&2],0.9909409880638123
136,mmix_nl_05_lr5e-4_wd0.0,0,[1&2],0.9909409880638123
344,mmix_nl_05_lr1e-4_wd1e-4,0,[1&2],0.9909409880638123
219,mmix_nl_05_lr5e-4_wd1e-4,0,[1&2],0.9909409880638123
302,mmix_nl_05_lr1e-4_wd1e-3,0,[1&2],0.9909409880638123
76,gmc_nl_lr1e-3_wd1e-3,0,[2],0.9905503392219543
59,gmc_l_lr1e-3_wd1e-3,0,[1&2],0.9904527068138123
8,gmc_l_lr1e-3_wd0.0,0,[1&2],0.990205705165863
5,gmc_l_lr1e-3_wd0.0,0,[0&1],0.9901367425918579
176,mmix_nl_05_lr5e-4_wd1e-3,0,[0&1],0.9885972142219543
300,mmix_nl_05_lr1e-4_wd1e-3,0,[0&1],0.9885972142219543
134,mmix_nl_05_lr5e-4_wd0.0,0,[0&1],0.9885972142219543
258,mmix_nl_05_lr1e-4_wd0.0,0,[0&1],0.9885972142219543
342,mmix_nl_05_lr1e-4_wd1e-4,0,[0&1],0.9885972142219543
51,mmix_nl_05_lr1e-3_wd1e-3,0,[0&1],0.9885972142219543
93,mmix_nl_05_lr1e-3_wd1e-4,0,[0&1],0.9885972142219543
217,mmix_nl_05_lr5e-4_wd1e-4,0,[0&1],0.9885972142219543
13,mmix_nl_05_lr1e-3_wd0.0,0,[0&1],0.9885972142219543
123,gmc_nl_lr1e-3_wd1e-4,0,[1&2],0.9885455369949341
228,gmc_l_lr5e-4_wd1e-4,0,[1&2],0.9884363412857056
122,gmc_nl_lr1e-3_wd1e-4,0,[0&1],0.9883502125740051
227,gmc_l_lr5e-4_wd1e-4,0,[0&1],0.988315761089325
343,mmix_nl_10_lr1e-4_wd1e-4,0,[0&1],0.9862650036811829
301,mmix_nl_10_lr1e-4_wd1e-3,0,[0&1],0.9862650036811829
216,mmix_nl_10_lr5e-4_wd1e-4,0,[0&1],0.9862650036811829
259,mmix_nl_10_lr1e-4_wd0.0,0,[0&1],0.9862650036811829
88,mmix_nl_10_lr1e-3_wd1e-4,0,[0&1],0.9862650036811829
173,mmix_nl_10_lr5e-4_wd1e-3,0,[0&1],0.9862650036811829
49,mmix_nl_10_lr1e-3_wd1e-3,0,[0&1],0.9862650036811829
131,mmix_nl_10_lr5e-4_wd0.0,0,[0&1],0.9862650036811829
12,mmix_nl_10_lr1e-3_wd0.0,0,[0&1],0.9862650036811829
271,gmc_l_lr1e-4_wd0.0,0,[0&2],0.9862534403800964
90,mmix_nl_10_lr1e-3_wd1e-4,0,[1&2],0.9860811233520508
16,mmix_nl_10_lr1e-3_wd0.0,0,[1&2],0.9860811233520508
261,mmix_nl_10_lr1e-4_wd0.0,0,[1&2],0.9860811233520508
345,mmix_nl_10_lr1e-4_wd1e-4,0,[1&2],0.9860811233520508
303,mmix_nl_10_lr1e-4_wd1e-3,0,[1&2],0.9860811233520508
133,mmix_nl_10_lr5e-4_wd0.0,0,[1&2],0.9860811233520508
175,mmix_nl_10_lr5e-4_wd1e-3,0,[1&2],0.9860811233520508
218,mmix_nl_10_lr5e-4_wd1e-4,0,[1&2],0.9860811233520508
361,gmc_l_lr1e-4_wd1e-4,0,[0&2],0.9860811233520508
52,mmix_nl_10_lr1e-3_wd1e-3,0,[1&2],0.9860811233520508
266,gmc_l_lr1e-4_wd0.0,0,[0],0.9853745698928833
114,mmix_l_05_lr1e-3_wd1e-4,0,[0&1],0.9852136969566345
321,mmix_l_05_lr1e-4_wd1e-3,0,[0&1],0.9852136969566345
362,mmix_l_05_lr1e-4_wd1e-4,0,[0&1],0.9852136969566345
72,mmix_l_05_lr1e-3_wd1e-3,0,[0&1],0.9852136969566345
155,mmix_l_05_lr5e-4_wd0.0,0,[0&1],0.9852136969566345
